caso;descricao;itens_material;itens_servico;custos_adicionais;modo_lucro;percentual;regra_arredondamento;subtotal_materiais;subtotal_servicos;total_adicionais;custo_direto_total;preco_bruto;valor_lucro;ajuste_arredondamento;preco_final_referencia
CT01;Um material, sem serviço e sem adicional, lucro zero;MDF 18mm 1x289.90;-;-;margem;0;duas_casas;289.90;0.00;0.00;289.90;289.90;0.00;0.00;289.90
CT02;Quantidade fracionada de chapa, margem 30%;MDF 18mm 2.5x289.90;-;-;margem;30;duas_casas;724.75;0.00;0.00;724.75;1035.36;310.61;0.00;1035.36
CT03;Orçamento completo (exemplo de referência), margem 30%, dezena;MDF 18mm 2.5x289.90 + Fita de borda 30x1.2350 + Corrediça 6x34.50 + Dobradiça 12x8.90;Corte e usinagem 8x45.00 + Montagem 6x55.00;Frete 120.00 + Ferragens diversas 45.50;margem;30;dezena;1075.60;690.00;165.50;1931.10;2758.71;827.61;1.29;2760.00
CT04;Mesmo custo do CT03 com markup 30% (comparação de modos);MDF 18mm 2.5x289.90 + Fita de borda 30x1.2350 + Corrediça 6x34.50 + Dobradiça 12x8.90;Corte e usinagem 8x45.00 + Montagem 6x55.00;Frete 120.00 + Ferragens diversas 45.50;markup;30;dezena;1075.60;690.00;165.50;1931.10;2510.43;579.33;9.57;2520.00
CT05;Arredondamento meio para cima na linha (4,5 x 1,2350 = 5,5575);Fita de borda 4.5x1.2350 + Cola PVA 1.5x23.9900;-;-;margem;20;duas_casas;41.55;0.00;0.00;41.55;51.94;10.39;0.00;51.94
CT06;Somente serviços, markup 50%, arredondamento em real inteiro;-;Projeto 3D 4x80.00 + Instalação 5.5x55.00;-;markup;50;real_inteiro;0.00;622.50;0.00;622.50;933.75;311.25;0.25;934.00
CT07;Um item e dois custos adicionais, margem 45%, dezena;Chapa MDP 15mm 3x198.75;-;Frete 90.00 + Deslocamento 60.00;margem;45;dezena;596.25;0.00;150.00;746.25;1356.82;610.57;3.18;1360.00
CT08;Doze itens, margem 25%, duas casas;MDF 18mm 4x289.90 + MDF 6mm 2x169.90 + Fita de borda 85x1.2350 + Corrediça 10x34.50 + Dobradiça 24x8.90 + Puxador 12x12.75 + Parafuso 4x40 (cento) 2x18.90 + Cola PVA 1x23.99 + Pé regulável 8x4.35;Corte e usinagem 14x45.00 + Montagem 10x55.00 + Projeto 3D 3x80.00;-;margem;25;duas_casas;2412.57;1420.00;0.00;3832.57;5110.09;1277.52;0.00;5110.09
CT09;Margem alta (60%) com arredondamento em real inteiro;Lâmina de madeira nobre 2.25x412.3300;Acabamento manual 6x65.00;Frete 75.00;margem;60;real_inteiro;927.74;390.00;75.00;1392.74;3481.85;2089.11;0.15;3482.00
CT10;Valores mínimos: um serviço de 0,5 hora, markup 0%;-;Ajuste de porta 0.5x45.00;-;markup;0;duas_casas;0.00;22.50;0.00;22.50;22.50;0.00;0.00;22.50
